"SN","Year","Month","Day","No1","No2","No3","No4","No5","No6","NoS","2y","2m","2d"
92104,92,12,30,2,17,18,24,26,40,30,93,3,30
92103,92,12,26,1,10,11,34,39,42,18,93,3,29
92102,92,12,23,3,08,22,28,33,41,35,93,3,23
92101,92,12,19,4,19,21,24,33,36,39,93,3,22
92100,92,12,16,1,11,12,21,36,40,24,93,3,16
92099,92,12,12,4,14,17,27,34,35,1,93,3,15
92098,92,12,9,1,24,25,29,31,37,18,93,3,9
92097,92,12,5,6,20,23,28,36,37,7,93,3,8
92096,92,12,2,9,16,24,29,30,40,13,93,3,2
92095,92,11,28,3,04,15,19,20,28,7,93,2,1
92094,92,11,25,2,04,09,33,36,41,40,93,2,25
92093,92,11,21,3,08,17,24,33,34,38,93,2,23
92092,92,11,18,2,03,16,25,34,42,13,93,2,18
92091,92,11,14,5,28,32,34,41,42,40,93,2,16
92090,92,11,11,2,05,12,25,33,39,41,93,2,11
92089,92,11,7,6,12,16,31,35,42,2,93,2,9  
92088,92,11,4,3,15,20,22,32,35,34,93,2,4  
92087,92,10,31,5,07,22,31,32,34,14,93,1,2  
92086,92,10,28,0,24,31,33,35,39,16,93,1,28  
92085,92,10,24,2,05,18,30,31,34,39,93,1,27  
92084,92,10,21,1,03,25,28,31,40,33,93,1,27  
92083,92,10,17,1,02,11,15,25,27,33,93,1,19  
92082,92,10,14,9,21,22,31,32,42,27,93,1,14  
92081,92,10,10,8,15,19,21,23,31,25,93,1,12  
92080,92,10,7,3,23,24,34,37,40,5,93,1,7  
92079,92,10,3,6,10,15,17,28,32,26,93,1,5  
92078,92,9,30,7,19,21,24,28,36,26,92,12,31 
92077,92,9,26,4,27,33,34,36,38,30,92,12,29  
92076,92,9,23,1,03,14,22,30,40,13,92,12,23  
92075,92,9,19,1,14,21,22,23,28,25,92,12,22  
92074,92,9,16,4,12,19,29,33,41,30,92,12,16  
92073,92,9,12,9,11,23,24,27,32,26,92,12,15  
92072,92,9,9,6,08,19,22,32,39,4,92,12,9  
92071,92,9,5,7,17,19,23,33,37,21,92,12,8  
92070,92,9,2,7,08,09,14,36,39,30,92,12,2  
92069,92,8,29,3,06,16,22,26,32,24,92,11,1  
92068,92,8,26,4,09,12,28,33,40,41,92,11,26  
92067,92,8,22,3,17,21,23,33,36,29,92,11,24  
92066,92,8,19,2,19,31,36,37,39,28,92,11,19  
92065,92,8,15,4,13,15,28,29,38,41,92,11,17  
92064,92,8,12,2,11,15,20,24,36,32,92,11,12  
92063,92,8,8,2,15,19,35,36,40,29,92,11,10  
92062,92,8,5,2,17,22,23,30,34,9,92,11,5  
92061,92,8,1,1,09,12,16,22,25,42,92,11,3  
92060,92,7,29,6,20,25,30,35,42,3,92,10,29  
92059,92,7,25,3,12,26,33,36,40,22,92,10,27  
92058,92,7,22,6,10,15,28,36,37,2,92,10,22  
92057,92,7,18,2,11,12,21,24,41,28,92,10,20  
92056,92,7,15,4,09,18,31,35,36,29,92,10,15  
92055,92,7,11,5,17,27,32,35,40,37,92,10,13  
92054,92,7,8,4,17,23,26,27,32,7,92,10,8  
92053,92,7,4,4,14,25,28,35,39,7,92,10,6  
92052,92,7,1,1,06,09,18,28,34,40,92,10,1 
92051,92,6,27,9,10,11,14,20,36,39,92,9,29  
92050,92,6,24,1,14,25,26,29,34,38,92,9,24  
92049,92,6,20,9,11,12,21,37,41,27,92,9,22  
92048,92,6,17,1,05,14,24,39,41,36,92,9,17  
92047,92,6,13,3,05,10,15,24,28,26,92,9,15  
92046,92,6,10,3,04,10,25,36,41,40,92,9,10  
92045,92,6,6,1,20,22,23,33,34,42,92,9,8  
92044,92,6,3,7,21,26,28,37,41,34,92,9,4  
92043,92,5,30,6,13,26,33,34,39,35,92,8,1  
92042,92,5,27,2,11,16,20,28,32,10,92,8,27  
92041,92,5,23,1,13,20,22,27,37,31,92,8,25  
92040,92,5,20,6,10,12,23,25,35,5,92,8,20  
92039,92,5,16,1,10,16,29,33,35,20,92,8,18  
92038,92,5,13,9,12,16,24,27,28,14,92,8,13  
92037,92,5,9,8,11,20,25,27,33,19,92,8,11  
92036,92,5,6,4,22,24,26,27,37,18,92,8,6  
92035,92,5,2,4,07,18,21,31,36,15,92,8,4  
92034,92,4,29,1,10,17,24,28,41,6,92,7,29  
92033,92,4,25,2,10,16,24,26,41,14,92,7,28  
92032,92,4,22,4,05,22,24,39,42,11,92,7,22  
92031,92,4,18,4,06,23,27,29,35,11,92,7,21  
92030,92,4,15,6,08,11,16,22,29,23,92,7,15  
92029,92,4,11,8,12,14,22,39,41,38,92,7,14  
92028,92,4,8,5,10,19,24,38,40,21,92,7,8  
92027,92,4,4,5,18,19,27,28,29,6,92,7,7  
92026,92,4,1,4,06,23,25,26,27,2,92,7,1  
92025,92,3,28,9,27,34,37,38,40,6,92,6,30  
92024,92,3,25,5,12,15,21,27,38,16,92,6,25  
92023,92,3,21,3,05,15,17,24,41,21,92,6,23  
92022,92,3,18,3,07,12,21,34,42,38,92,6,18  
92021,92,3,14,1,13,14,21,28,42,19,92,6,16  
92020,92,3,11,7,25,32,34,37,39,20,92,6,11  
92019,92,3,7,3,15,19,23,27,31,17,92,6,9  
92018,92,3,4,1,18,20,21,38,40,22,92,6,5  
92017,92,2,28,5,20,22,36,38,40,32,92,5,2  
92016,92,2,25,1,28,30,33,35,42,37,92,5,26  
92015,92,2,21,1,05,18,25,30,32,21,92,5,23  
92014,92,2,18,2,05,07,09,28,35,19,92,5,19  
92013,92,2,14,4,27,32,33,37,38,13,92,5,16  
92012,92,2,11,2,05,21,25,34,42,3,92,5,12  
92011,92,2,7,3,16,17,29,34,37,33,92,5,9  
92010,92,2,4,4,15,21,28,33,35,31,92,5,5  
92009,92,1,31,7,12,15,31,33,41,27,92,4,5  
92008,92,1,28,3,15,16,21,27,38,39,92,4,28 
92007,92,1,24,3,05,09,10,13,24,7,92,4,28  
92006,92,1,21,6,19,21,28,31,39,4,92,4,21  
92005,92,1,17,2,03,18,28,36,41,23,92,4,21 
92004,92,1,14,0,14,17,20,31,41,39,92,4,14 
92003,92,1,10,9,13,15,35,37,39,10,92,4,14 
92002,92,1,7,6,10,12,13,14,35,27,92,4,7 
92001,92,1,3,1,14,20,36,39,42,23,92,4,7  
